장소명,주소명,상세페이지
난곡마을 협동조합 정보실,서울특별시 관악구 난곡로24가길 53 (신림동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000064
목동어르신복지관,서울특별시 양천구 목동중앙로3길 21 (목동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000018
흑석동 주민센터,서울특별시 동작구 흑석한강로 11 (흑석동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002311
구세군 강북종합사회복지관,서울특별시 강북구 인수봉로20가길 24 (미아동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002145
구립용마경로복지센터,서울특별시 중랑구 용마산로94길 98 (면목동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001090
함사람지역아동센터,서울특별시 구로구 경서로 82-14 (고척동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002137
마천종합사회복지관,서울특별시 송파구 마천로65길 4 (마천동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002215
북아현동 자치회관(302호),서울특별시 서대문구 북아현로 24 (북아현동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002286
송파종합사회복지관,서울특별시 송파구 오금로51길 34 (거여동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002516
신내경로복지센터,서울특별시 중랑구 망우로65길 20 (신내동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000098
홍은1동 자치회관,서울특별시 서대문구 세검정로1길 45 (홍은동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000166
강북보훈회관,서울특별시 강북구 오패산로 290-1 (미아동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000083
종로장애인복지관,서울특별시 종로구 자하문로 89 (신교동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000198
사당4동 도시재생현장지원센터,서울특별시 동작구 사당로14길 66 (사당동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000813
강서구립화곡어르신복지센터,서울특별시 강서구 월정로30길 96 (화곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001094
도암어울마루,서울특별시 노원구 덕릉로126나길 14 (상계동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002126
강동 또바기작은도서관,"서울특별시 강동구 아리수로98길 25 (강일동, 강일리버파크7단지아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002323
중림종합사회복지관,서울특별시 중구 서소문로6길 16 (중림동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000018
상계종합사회복지관,서울특별시 노원구 덕릉로115나길 25 상계종합사회복지관,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001093
양천구50플러스센터,서울특별시 양천구 남부순환로83길 53 (신월동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000913
꿈나래지역아동센터,서울특별시 구로구 고척로6길 29 (오류동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000565
사당어르신종합복지관,서울특별시 동작구 남부순환로 2081 (사당동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000085
응암정보도서관,서울특별시 은평구 가좌로7길 15 (응암동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002516
옥수종합사회복지관,서울특별시 성동구 한림말길 16-5 (옥수동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002427
유락종합사회복지관,서울특별시 중구 퇴계로 460 (신당동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002214
서대문구 노인종합복지관,서울특별시 서대문구 독립문로8길 57 (천연동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002391
성동노인종합복지관,서울특별시 성동구 마조로 77 (마장동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002405
성동장애인종합복지관,서울특별시 성동구 청계천로 506 (마장동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001080
청파노인복지관,서울특별시 용산구 청파로83길 26 (서계동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000063
양평2동 주민센터,서울특별시 영등포구 선유로47길 30 (양평동4가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000909
양평2동 주민센터,서울특별시 영등포구 선유로47길 30 (양평동4가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000016
구립시흥노인교실,서울특별시 금천구 금하로23다길 8 (시흥동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000197
송파실벗뜨락,서울특별시 송파구 백제고분로42길 5 (송파동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001648
